frame,ms
2563,7
2564,6
2565,6
2566,11
2567,6
2568,5
2569,5
2570,21
2571,7
2572,7
2573,4
2574,7
2575,5
2576,9
2577,5
2578,5
2579,5
2580,6
2581,5
2582,7
2583,6
2584,6
2585,9
2586,5
2587,12
2588,8
2589,8
2590,8
2591,9
2592,11
2593,8
2594,8
2595,7
2596,5
2597,7
2598,5
2599,5
2600,8
2601,5
2602,5
2603,4
2604,5
2605,4
2606,4
2607,5
2608,9
2609,5
2610,4
2611,5
2612,6
2613,7
2614,5
2615,6
2616,6
2617,5
2618,8
2619,7
2620,7
2621,6
2622,5
2623,7
2624,5
2625,4
2626,5
2627,5
2628,7
2629,6
2630,7
2631,7
2632,5
2633,6
2634,5
2635,5
2636,6
2637,5
2638,4
2639,6
2640,15
2641,7
2642,7
2643,8
2644,7
2645,4
2646,5
2647,4
2648,4
2649,6
2650,5
2651,5
2652,4
2653,4
2654,4
2655,6
2656,6
2657,7
2658,5
2659,6
2660,9
2661,8
2662,7
2663,5
2664,6
2665,8
2666,7
2667,6
2668,7
2669,6
2670,24
2671,9
2672,8
2673,7
2674,8
2675,10
2676,6
2677,5
2678,6
2679,6
2680,5
2681,11
2682,8
2683,8
2684,9
2685,7
2686,10
2687,7
2688,8
2689,5
2690,19
2691,7
2692,5
2693,5
2694,5
2695,6
2696,10
2697,6
2698,6
2699,7
2700,5
2701,8
2702,6
2703,5
2704,4
2705,5
2706,5
2707,8
2708,5
2709,6
2710,17
2711,4
2712,4
2713,5
2714,5
2715,8
2716,7
2717,6
2718,7
2719,6
2720,5
2721,7
2722,7
2723,5
2724,4
2725,6
2726,5
2727,4
2728,8
2729,7
2730,16
2731,4
2732,4
2733,4
2734,3
2735,6
2736,6
2737,3
2738,5
2739,3
2740,7
2741,4
2742,5
2743,4
2744,6
2745,9
2746,4
2747,6
2748,7
2749,8
2750,19
2751,5
2752,5
2753,5
2754,6
2755,5
2756,8
2757,5
2758,4
2759,5
2760,7
2761,8
2762,6
2763,5
2764,5
2765,6
2766,8
2767,6
2768,4
2769,4
2770,18
2771,6
2772,4
2773,5
2774,5
2775,5
2776,7
2777,7
2778,6
2779,4
2780,5
2781,5
2782,7
2783,5
2784,4
2785,4
2786,7
2787,10
2788,8
2789,7
2790,7
2791,7
2792,11
2793,7
2794,8
2795,6
2796,5
2797,5
2798,4
2799,4
2800,5
2801,3
2802,7
2803,4
2804,5
2805,5
2806,4
2807,4
2808,6
2809,5
2810,4
2811,4
2812,4
2813,7
2814,7
2815,6
2816,7
2817,4
2818,6
2819,4
2820,5
2821,4
2822,6
2823,10
2824,5
2825,5
2826,5
2827,6
2828,7
2829,5
2830,5
2831,6
2832,7
2833,6
2834,8
2835,6
2836,5
2837,6
2838,6
2839,6
2840,19
2841,7
2842,8
2843,9
2844,9
2845,4
2846,4
2847,6
2848,5
2849,7
2850,5
2851,7
2852,5
2853,5
2854,4
2855,6
2856,5
2857,7
2858,4
2859,4
2860,6
2861,4
2862,7
2863,6
2864,6
2865,8
2866,6
2867,5
2868,5
2869,4
2870,27
2871,10
2872,9
2873,9
2874,9
2875,8
2876,6
2877,6
2878,8
2879,6
2880,6
2881,7
2882,6
2883,5
2884,5
2885,6
2886,12
2887,9
2888,8
2889,8
2890,18
2891,7
2892,6
2893,5
2894,6
2895,7
2896,11
2897,5
2898,6
2899,6
2900,8
2901,10
2902,6
2903,5
2904,5
2905,6
2906,6
2907,9
2908,5
2909,5
2910,24
2911,7
2912,5
2913,7
2914,6
2915,7
2916,5
2917,6
2918,4
2919,7
2920,10
2921,7
2922,8
2923,7
2924,7
2925,10
2926,8
2927,8
2928,8
2929,8
2930,28
2931,7
2932,7
2933,6
2934,7
2935,8
2936,5
2937,5
2938,4
2939,5
2940,8
2941,6
2942,5
2943,7
2944,4
2945,6
2946,7
2947,6
2948,6
2949,5
2950,21
2951,6
2952,6
2953,6
2954,5
2955,5
2956,8
2957,7
2958,8
2959,5
2960,5
2961,7
2962,6
2963,4
2964,4
2965,4
2966,7
2967,4
2968,5
2969,7
2970,19
2971,7
2972,4
2973,4
2974,5
2975,5
2976,7
2977,6
2978,5
2979,6
2980,5
2981,5
2982,6
2983,5
2984,5
2985,5
2986,5
2987,8
2988,7
2989,7
2990,5
2991,6
